,home_team,away_team,home_shots_prop,away_shots_prop,home_corsi_prop,away_corsi_prop,home_fenwick_prop,away_fenwick_prop,home_penalties_prop,away_penalties_prop,home_hits_prop,away_hits_prop,home_takeaways_prop,away_takeaways_prop,game_end
1246,Ottawa Senators,Tampa Bay Lightning,0.5384615384615384,0.4461538461538462,0.5950413223140496,0.39669421487603307,0.5555555555555556,0.43333333333333335,0.45454545454545453,0.45454545454545453,0.40425531914893614,0.574468085106383,0.625,0.3333333333333333,home win
1247,Florida Panthers,Toronto Maple Leafs,0.5555555555555556,0.42857142857142855,0.5333333333333333,0.4583333333333333,0.5111111111111111,0.4777777777777778,0.5,0.375,0.5777777777777777,0.4,0.4,0.5,away win
1248,Detroit Red Wings,St. Louis Blues,0.5490196078431373,0.43137254901960786,0.5104166666666666,0.4791666666666667,0.5671641791044776,0.417910447761194,0.625,0.25,0.4,0.5714285714285714,0.4166666666666667,0.5,away win
1249,Nashville Predators,Seattle Kraken,0.47368421052631576,0.5087719298245614,0.4838709677419355,0.5080645161290323,0.5,0.48936170212765956,0.4,0.4,0.5081967213114754,0.47540983606557374,0.5625,0.375,home win
1250,Calgary Flames,Vegas Golden Knights,0.5714285714285714,0.4155844155844156,0.46938775510204084,0.5238095238095238,0.54,0.45,0.25,0.5,0.6578947368421053,0.3157894736842105,0.5384615384615384,0.38461538461538464,away win
1251,Dallas Stars,Pittsburgh Penguins,0.4342105263157895,0.5526315789473685,0.44680851063829785,0.5460992907801419,0.40384615384615385,0.5865384615384616,0.3333333333333333,0.5,0.40540540540540543,0.5675675675675675,0.4375,0.5,home win
1252,Vancouver Canucks,San Jose Sharks,0.5121951219512195,0.4634146341463415,0.42045454545454547,0.5681818181818182,0.484375,0.5,0.25,0.625,0.4262295081967213,0.5573770491803278,0.5333333333333333,0.4,home win
1253,Anaheim Ducks,Winnipeg Jets,0.37037037037037035,0.6111111111111112,0.43859649122807015,0.5526315789473685,0.39325842696629215,0.5955056179775281,0.4,0.4,0.55,0.4,0.4,0.5333333333333333,away win
1254,Columbus Blue Jackets,New York Islanders,0.4090909090909091,0.5757575757575758,0.4444444444444444,0.5481481481481482,0.4174757281553398,0.5728155339805825,0.16666666666666666,0.6666666666666666,0.44,0.54,0.3076923076923077,0.6153846153846154,home win
1255,Buffalo Sabres,New Jersey Devils,0.4482758620689655,0.5344827586206896,0.514018691588785,0.4766355140186916,0.43529411764705883,0.5529411764705883,0.375,0.5,0.20833333333333334,0.75,0.4666666666666667,0.4666666666666667,home win
1256,Colorado Avalanche,Arizona Coyotes,0.6122448979591837,0.3673469387755102,0.5148514851485149,0.4752475247524752,0.618421052631579,0.3684210526315789,0.2,0.6,0.4444444444444444,0.5333333333333333,0.5,0.4444444444444444,home win
1257,Philadelphia Flyers,Detroit Red Wings,0.4230769230769231,0.5576923076923077,0.5346534653465347,0.45544554455445546,0.4657534246575342,0.5205479452054794,0.6,0.3,0.44,0.54,0.45,0.5,home win
1258,Boston Bruins,Tampa Bay Lightning,0.5483870967741935,0.43548387096774194,0.4424778761061947,0.5486725663716814,0.47674418604651164,0.5116279069767442,0.4375,0.5,0.4098360655737705,0.5737704918032787,0.5,0.42857142857142855,home win
1259,Nashville Predators,Seattle Kraken,0.2857142857142857,0.6964285714285714,0.37755102040816324,0.6122448979591837,0.35526315789473684,0.631578947368421,0.5,0.4,0.5740740740740741,0.4074074074074074,0.5,0.42857142857142855,away win
1260,Los Angeles Kings,Winnipeg Jets,0.5178571428571429,0.4642857142857143,0.4722222222222222,0.5185185185185185,0.4230769230769231,0.5641025641025641,0.6,0.3,0.39344262295081966,0.5901639344262295,0.5454545454545454,0.36363636363636365,home win
1261,Calgary Flames,San Jose Sharks,0.4838709677419355,0.5,0.5537190082644629,0.4380165289256198,0.5666666666666667,0.4222222222222222,0.6,0.2,0.4666666666666667,0.5,0.7142857142857143,0.23809523809523808,home win
1262,Minnesota Wild,Chicago Blackhawks,0.5102040816326531,0.46938775510204084,0.46464646464646464,0.5252525252525253,0.4936708860759494,0.4936708860759494,0.5,0.3333333333333333,0.4716981132075472,0.5094339622641509,0.5,0.4,home win
1263,Florida Panthers,New York Rangers,0.44155844155844154,0.5454545454545454,0.44,0.552,0.4835164835164835,0.5054945054945055,0.5714285714285714,0.2857142857142857,0.4473684210526316,0.5263157894736842,0.5882352941176471,0.35294117647058826,away win
1264,New York Islanders,Buffalo Sabres,0.41935483870967744,0.5645161290322581,0.4594594594594595,0.5315315315315315,0.425,0.5625,0.5,0.3333333333333333,0.7027027027027027,0.2702702702702703,0.2857142857142857,0.6428571428571429,away win
1265,Dallas Stars,Vancouver Canucks,0.5098039215686274,0.47058823529411764,0.40816326530612246,0.5816326530612245,0.4714285714285714,0.5142857142857142,0.375,0.5,0.43333333333333335,0.5333333333333333,0.5333333333333333,0.4,away win
1266,Montréal Canadiens,Columbus Blue Jackets,0.5714285714285714,0.4107142857142857,0.5514018691588785,0.4392523364485981,0.5921052631578947,0.39473684210526316,0.5,0.375,0.40625,0.5625,0.5555555555555556,0.3333333333333333,home win
1267,New Jersey Devils,Ottawa Senators,0.546875,0.4375,0.5433070866141733,0.44881889763779526,0.5666666666666667,0.4222222222222222,0.5555555555555556,0.3333333333333333,0.2826086956521739,0.6956521739130435,0.5,0.4375,home win
1268,Carolina Hurricanes,Toronto Maple Leafs,0.3835616438356164,0.6027397260273972,0.416,0.576,0.36363636363636365,0.6262626262626263,0.5,0.3333333333333333,0.45161290322580644,0.5161290322580645,0.5,0.4444444444444444,home win
