,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x
115,2022-10-13,2022020009,Anaheim Ducks,5,Seattle Kraken,4,20222023,Final,27,48,74,48,32,62,-7.3931623931623935,-8.865671641791044
116,2022-10-13,2022020010,Edmonton Oilers,5,Vancouver Canucks,3,20222023,Final,25,36,64,48,32,47,14.414012738853502,0.6903225806451613
117,2022-10-13,2022020011,Pittsburgh Penguins,6,Arizona Coyotes,2,20222023,Final,53,28,42,81,66,33,-1.3151515151515152,2.096
118,2022-10-13,2022020012,Philadelphia Flyers,5,New Jersey Devils,2,20222023,Final,25,37,64,63,35,55,1.818840579710145,7.6223776223776225
119,2022-10-13,2022020013,Buffalo Sabres,4,Ottawa Senators,1,20222023,Final,36,36,51,56,45,41,3.1634615384615383,-9.073394495412844
120,2022-10-13,2022020014,New York Islanders,1,Florida Panthers,3,20222023,Final,33,29,56,74,49,43,16.419354838709676,16.737704918032787
121,2022-10-13,2022020015,Toronto Maple Leafs,3,Washington Capitals,2,20222023,Final,39,26,55,66,49,46,4.2024539877300615,1.9929078014184398
122,2022-10-14,2022020017,Minnesota Wild,3,New York Rangers,7,20222023,Final,36,35,54,62,49,41,5.231343283582089,3.3934426229508197
123,2022-10-14,2022020016,Nashville Predators,1,Dallas Stars,4,20222023,Final,32,29,57,48,41,40,5.432624113475177,10.072463768115941
124,2022-10-14,2022020018,Calgary Flames,5,Colorado Avalanche,3,20222023,Final,27,25,54,47,37,39,-8.804347826086957,-3.761904761904762
125,2022-10-14,2022020019,Vegas Golden Knights,1,Chicago Blackhawks,0,20222023,Final,37,27,56,71,52,34,-4.333333333333333,2.7837837837837838
126,2022-10-14,2022020020,Los Angeles Kings,1,Seattle Kraken,4,20222023,Final,27,22,48,48,39,33,-0.17054263565891473,-6.606060606060606
127,2022-10-14,2022020021,Columbus Blue Jackets,2,Tampa Bay Lightning,5,20222023,Final,28,39,57,53,40,53,-1.544,-19.287128712871286
128,2022-10-14,2022020022,Detroit Red Wings,3,Montréal Canadiens,0,20222023,Final,40,29,47,65,49,31,-10.57615894039735,5.744
129,2022-10-15,2022020023,Winnipeg Jets,4,New York Rangers,1,20222023,Final,34,41,75,60,47,57,-8.621621621621621,-17.785714285714285
130,2022-10-15,2022020024,San Jose Sharks,1,Carolina Hurricanes,2,20222023,Final,19,35,55,46,24,46,8.936936936936936,-0.75
131,2022-10-15,2022020025,Buffalo Sabres,3,Florida Panthers,4,20222023,Final,27,37,64,46,33,54,10.603603603603604,-2.5083333333333333
132,2022-10-15,2022020026,Philadelphia Flyers,3,Vancouver Canucks,2,20222023,Final,31,30,49,56,42,41,3.8677685950413223,-4.348214285714286
133,2022-10-15,2022020027,Boston Bruins,6,Arizona Coyotes,3,20222023,Final,43,24,51,67,54,33,17.0,14.814516129032258
134,2022-10-15,2022020028,New Jersey Devils,2,Detroit Red Wings,5,20222023,Final,39,22,52,62,51,32,-5.794117647058823,-0.16379310344827586
135,2022-10-15,2022020029,Washington Capitals,3,Montréal Canadiens,1,20222023,Final,29,22,58,60,45,38,8.895522388059701,10.158273381294965
136,2022-10-15,2022020030,Toronto Maple Leafs,3,Ottawa Senators,2,20222023,Final,32,28,57,62,48,38,-5.371794871794871,-2.81875
137,2022-10-15,2022020031,Pittsburgh Penguins,6,Tampa Bay Lightning,2,20222023,Final,45,36,57,76,63,43,-2.4184782608695654,-12.216666666666667
138,2022-10-15,2022020032,New York Islanders,7,Anaheim Ducks,1,20222023,Final,38,23,51,74,54,37,-1.628930817610063,0.7798165137614679
139,2022-10-16,2022020033,St. Louis Blues,5,Columbus Blue Jackets,2,20222023,Final,25,25,45,52,39,32,2.4838709677419355,3.3947368421052633
140,2022-10-16,2022020034,Minnesota Wild,6,Los Angeles Kings,7,20222023,Final,35,34,63,55,48,43,-10.468253968253968,1.5772357723577235
141,2022-10-16,2022020035,Dallas Stars,5,Nashville Predators,1,20222023,Final,22,30,76,48,34,58,-2.663793103448276,9.055172413793104
142,2022-10-16,2022020037,Seattle Kraken,2,Vegas Golden Knights,5,20222023,Final,33,30,61,52,43,41,10.310344827586206,8.253846153846155
143,2022-10-16,2022020038,San Jose Sharks,2,Chicago Blackhawks,5,20222023,Final,26,25,50,41,38,33,5.42,-0.8823529411764706
144,2022-10-16,2022020036,Edmonton Oilers,3,Calgary Flames,4,20222023,Final,29,42,74,48,35,60,-0.9205298013245033,-10.253086419753087
145,2022-10-17,2022020039,New York Rangers,6,Anaheim Ducks,4,20222023,Final,43,22,37,71,58,25,-5.258992805755396,4.01
